Human_Evaluation_Case_ID,Comparison_Type_TestCase,Image_1_Path_TestCase,Image_2_Path_TestCase,LIME_Image1_Path,LIME_Image2_Path,GradCAM_Image1_Path,GradCAM_Image2_Path,IG_Image1_Path,IG_Image2_Path
HE_011,B_Same_Finger_Augmented_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\rotate_left\496__M_Right_index_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\rotate_right\496__M_Right_index_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_011_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_011_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_011_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_011_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_011_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_011_Image2_IG.png
HE_012,B_Same_Finger_Augmented_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\rotate_right\469__M_Right_index_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\noise\469__M_Right_index_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_012_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_012_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_012_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_012_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_012_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_012_Image2_IG.png
HE_013,B_Same_Finger_Augmented_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\rotate_left\564__M_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\noise\564__M_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_013_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_013_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_013_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_013_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_013_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_013_Image2_IG.png
HE_014,B_Same_Finger_Augmented_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\noise\124__M_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\blur\124__M_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_014_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_014_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_014_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_014_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_014_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_014_Image2_IG.png
HE_015,B_Same_Finger_Augmented_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\brightness\2__F_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\translation\2__F_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_015_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_015_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_015_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_015_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_015_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_015_Image2_IG.png
HE_016,B_Same_Finger_Augmented_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\blur\291__M_Right_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\translation\291__M_Right_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_016_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_016_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_016_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_016_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_016_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_016_Image2_IG.png
HE_017,B_Same_Finger_Augmented_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\brightness\474__M_Right_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\noise\474__M_Right_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_017_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_017_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_017_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_017_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_017_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_017_Image2_IG.png
HE_018,B_Same_Finger_Augmented_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\brightness\252__F_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\noise\252__F_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_018_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_018_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_018_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_018_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_018_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_018_Image2_IG.png
HE_019,B_Same_Finger_Augmented_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\brightness\493__M_Left_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\blur\493__M_Left_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_019_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_019_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_019_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_019_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_019_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_019_Image2_IG.png
HE_020,B_Same_Finger_Augmented_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\rotate_left\315__F_Right_index_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\rotate_right\315__F_Right_index_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_020_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_020_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_020_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_020_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_020_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_020_Image2_IG.png
HE_021,C_Different_Person_Original_Original,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\553__M_Left_middle_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\335__M_Right_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_021_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_021_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_021_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_021_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_021_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_021_Image2_IG.png
HE_022,C_Different_Person_Original_Original,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\206__M_Right_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\131__M_Right_ring_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_022_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_022_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_022_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_022_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_022_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_022_Image2_IG.png
HE_023,C_Different_Person_Original_Original,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\438__M_Right_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\583__M_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_023_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_023_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_023_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_023_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_023_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_023_Image2_IG.png
HE_024,C_Different_Person_Original_Original,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\461__F_Right_middle_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\388__F_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_024_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_024_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_024_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_024_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_024_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_024_Image2_IG.png
HE_025,C_Different_Person_Original_Original,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\212__M_Left_ring_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\441__M_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_025_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_025_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_025_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_025_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_025_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_025_Image2_IG.png
HE_026,C_Different_Person_Original_Original,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\471__M_Right_middle_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\114__F_Left_middle_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_026_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_026_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_026_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_026_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_026_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_026_Image2_IG.png
HE_027,C_Different_Person_Original_Original,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\46__M_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\331__M_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_027_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_027_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_027_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_027_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_027_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_027_Image2_IG.png
HE_028,C_Different_Person_Original_Original,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\77__M_Right_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\213__M_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_028_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_028_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_028_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_028_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_028_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_028_Image2_IG.png
HE_029,C_Different_Person_Original_Original,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\38__M_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\440__M_Right_middle_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_029_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_029_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_029_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_029_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_029_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_029_Image2_IG.png
HE_030,C_Different_Person_Original_Original,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\395__M_Right_index_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\293__F_Right_index_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_030_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_030_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_030_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_030_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_030_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_030_Image2_IG.png
